127.0.0.1 - - [13/Nov/2016:16:57:35 +0800] "GET / HTTP/1.1" 200 57
127.0.0.1 - - [13/Nov/2016:16:57:39 +0800] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [13/Nov/2016:16:58:11 +0800] "GET /Kill HTTP/1.1" 302 -
127.0.0.1 - - [13/Nov/2016:16:58:11 +0800] "GET /Kill/ HTTP/1.1" 200 57
127.0.0.1 - - [13/Nov/2016:16:58:18 +0800] "GET /Kill/list HTTP/1.1" 404 1010
127.0.0.1 - - [13/Nov/2016:16:58:26 +0800] "GET /list HTTP/1.1" 404 1000
127.0.0.2 - - [13/Nov/2016:16:59:01 +0800] "GET /Kill/kill/list HTTP/1.1" 200 3463
127.0.0.2 - - [13/Nov/2016:16:59:01 +0800] "GET /Kill/kill/list HTTP/1.1" 200 3463
127.0.0.1 - - [13/Nov/2016:16:59:01 +0800] "GET /Kill/kill/list HTTP/1.1" 200 3463
127.0.0.1 - - [13/Nov/2016:16:59:01 +0800] "GET /Kill/kill/list HTTP/1.1" 200 3463
127.0.0.2 - - [13/Nov/2016:16:59:01 +0800] "GET /Kill/kill/list HTTP/1.1" 200 3463
126.0.0.1 - - [13/Nov/2016:16:59:01 +0800] "GET /Kill/kill/list HTTP/1.1" 200 3463
127.0.0.3 - - [13/Nov/2016:16:59:01 +0800] "GET /Kill/kill/list HTTP/1.1" 200 3463
127.0.0.1 - - [13/Nov/2016:16:59:01 +0800] "GET /Kill/kill/list HTTP/1.1" 200 3463
127.0.0.4 - - [13/Nov/2016:16:59:01 +0800] "GET /Kill/kill/list HTTP/1.1" 200 3463
127.0.0.1 - - [13/Nov/2016:16:59:01 +0800] "GET /Kill/kill/list HTTP/1.1" 200 3463
127.0.0.7 - - [13/Nov/2016:16:59:01 +0800] "GET /Kill/kill/list HTTP/1.1" 200 3463
